プロジェクト,トラッカー,ステータス,題名,説明,優先度,カテゴリ,担当者,対象バージョン,プライベート,開始日,期日,予定工数,進捗率
販売WEB,機能,新規,開発環境構築手順書,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,（各インストーラ）,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,製造規約書,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,開発サーバ環境構築手順書,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,（各DBスクリプト）,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,（各DBダンプ）,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,（各技術検討資料）,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,1900/01/00,,通常,,福尾 利行,05.ＰＧ開発,,,,,
販売WEB,機能,新規,（各単体試験仕様書）,,通常,,福尾 利行,06.単体試験,,,,,
販売WEB,機能,新規,結合試験計画書,,通常,,福尾 利行,07.結合試験,,,,,
販売WEB,機能,新規,（各結合試験仕様書）,,通常,,福尾 利行,07.結合試験,,,,,
販売WEB,機能,新規,サーバ移行リハ手順書,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,データ移行リハ手順書,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,モジュール移行リハ手順書,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,シナリオテスト計画書,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,（各シナリオテスト仕様書）,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,ストレステスト計画書,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,（各ストレステスト仕様書）,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,現新比較テスト計画書,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,（各現新比較テスト仕様書）,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,（各回帰テスト仕様書）,,通常,,福尾 利行,08.総合試験,,,,,
販売WEB,機能,新規,不具合管理表,,通常,,福尾 利行,09.受入検査,,,,,
販売WEB,機能,新規,サーバ移行手順書,,通常,,福尾 利行,10.本番移行,,,,,
販売WEB,機能,新規,データ移行手順書,,通常,,福尾 利行,10.本番移行,,,,,
販売WEB,機能,新規,モジュール移行手順書,,通常,,福尾 利行,10.本番移行,,,,,
販売WEB,機能,新規,（リリース手順書）,,通常,,福尾 利行,11.運用保守,,,,,
販売WEB,機能,新規,（投入データ）,,通常,,福尾 利行,11.運用保守,,,,,
販売WEB,機能,新規,（リリースモジュール）,,通常,,福尾 利行,11.運用保守,,,,,
